id,path,source_folder,text_len_chars,text_len_tokens,npy_path,embedding_dim,embedding_dtype
651e4ffdc97a3f0ef3c69d6e_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69d6e_20221001.json,TL_서울_화재_small,664,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69d6e_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69db0_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69db0_20221001.json,TL_서울_화재_small,391,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69db0_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69dba_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69dba_20221001.json,TL_서울_화재_small,482,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69dba_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69dd3_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69dd3_20221001.json,TL_서울_화재_small,307,125,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69dd3_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69dfe_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69dfe_20221001.json,TL_서울_화재_small,455,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69dfe_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69e56_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69e56_20221001.json,TL_서울_화재_small,364,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69e56_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69e5e_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69e5e_20221001.json,TL_서울_화재_small,608,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69e5e_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69e7d_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69e7d_20221001.json,TL_서울_화재_small,296,117,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69e7d_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69e92_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69e92_20221001.json,TL_서울_화재_small,291,115,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69e92_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69ea0_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69ea0_20221001.json,TL_서울_화재_small,994,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69ea0_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69f05_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69f05_20221001.json,TL_서울_화재_small,590,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69f05_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69f69_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69f69_20221001.json,TL_서울_화재_small,592,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69f69_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69f80_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69f80_20221001.json,TL_서울_화재_small,231,97,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69f80_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69f97_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69f97_20221001.json,TL_서울_화재_small,488,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69f97_20221001.npy,768,float32
651e4ffdc97a3f0ef3c69fda_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c69fda_20221001.json,TL_서울_화재_small,626,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c69fda_20221001.npy,768,float32
651e4ffdc97a3f0ef3c6a029_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c6a029_20221001.json,TL_서울_화재_small,264,108,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c6a029_20221001.npy,768,float32
651e4ffdc97a3f0ef3c6a063_20221001.json,/content/drive/MyDrive/TL_서울_화재_small/651e4ffdc97a3f0ef3c6a063_20221001.json,TL_서울_화재_small,675,128,/content/output/smalldata/TL_서울_화재_small/651e4ffdc97a3f0ef3c6a063_20221001.npy,768,float32
